time_interval,y_true,y_pred,model,square_id
2013-12-16 00:00:00+00:00,148.76675923665366,-15.019672711008422,SARIMA,4159
2013-12-16 00:30:00+00:00,134.16871643066406,1.8475146012280297,SARIMA,4159
2013-12-16 01:00:00+00:00,128.76705169677734,-9.90785819851188,SARIMA,4159
2013-12-16 01:30:00+00:00,118.57756805419922,-8.91587087207186,SARIMA,4159
2013-12-16 02:00:00+00:00,123.09136708577473,17.53696789178708,SARIMA,4159
2013-12-16 02:30:00+00:00,115.57846577962239,1.726561919368898,SARIMA,4159
2013-12-16 03:00:00+00:00,111.31884002685547,-5.718026735620454,SARIMA,4159
2013-12-16 03:30:00+00:00,107.18472544352214,7.142996284859965,SARIMA,4159
2013-12-16 04:00:00+00:00,108.20985666910808,7.73026908880474,SARIMA,4159
2013-12-16 04:30:00+00:00,107.04999287923177,3.6760988138207935,SARIMA,4159
2013-12-16 05:00:00+00:00,114.35354614257812,6.441896868555306,SARIMA,4159
2013-12-16 05:30:00+00:00,123.08876291910808,13.741492618571584,SARIMA,4159
2013-12-16 06:00:00+00:00,144.9791259765625,12.099517466731417,SARIMA,4159
2013-12-16 06:30:00+00:00,195.10557556152344,34.71616709774476,SARIMA,4159
2013-12-16 07:00:00+00:00,247.79950968424478,28.325924837107344,SARIMA,4159
2013-12-16 07:30:00+00:00,299.6566467285156,34.92232008129951,SARIMA,4159
2013-12-16 08:00:00+00:00,361.31418863932294,54.64713891531863,SARIMA,4159
2013-12-16 08:30:00+00:00,410.95496622721356,19.328815932650837,SARIMA,4159
2013-12-16 09:00:00+00:00,402.12689208984375,42.517994321313154,SARIMA,4159
2013-12-16 09:30:00+00:00,416.23329671223956,7.19161412762268,SARIMA,4159
2013-12-16 10:00:00+00:00,421.7373046875,-12.640200164022348,SARIMA,4159
2013-12-16 10:30:00+00:00,435.28113810221356,4.956227493817328,SARIMA,4159
2013-12-16 11:00:00+00:00,469.3869323730469,8.361897231456643,SARIMA,4159
2013-12-16 11:30:00+00:00,454.61790974934894,28.44551861612726,SARIMA,4159
